"sentence","target word","cloze probability","Log Hal Frequency","Phonological Neighbors","Semantic Neighborhood Density","Response Entropy","densityA","densityB"
"Joe liked the foreign city but didn't want to __________.","stay","0.3400","10.80","8","0.67","3.0500","113","7"
"After a long workout, Sam really needs to __________.","rest","0.4500","11.27","21","0.68","2.6500","164","17"
"After his summer vacation, Simon's skin color was very __________.","tan","0.4100","9.06","23","0.58","1.9300","9","23"
"She gave him a CD of songs he would __________.","like","0.6200","13.88","29","0.70","1.7300","1290","24"
"The employee learned to work with people she didn't __________.","like","0.9000","13.88","29","0.70","0.6500","1290","24"
"As the toddler bot older, she struggled to __________.","walk","0.4000","10.41","15","0.64","3.1700","100","14"
"At around 12 months, children start learning to __________.","walk","0.5800","10.41","15","0.64","1.7700","100","14"
"A hasty person, Andre was known for his brisk __________.","walk","0.3800","10.41","15","0.64","3.5200","100","14"
"Jessica went to the treadmill and started to slowly __________.","walk","0.6000","10.41","15","0.64","1.7900","100","14"
"Oliver thought driving was hard, especially how to __________.","park","0.4600","10.75","11","0.67","2.7700","94","12"
"After waiting three hours, Cal whined and started to __________.","cry","0.5000","9.49","7","0.59","2.8500","48","7"
"Cameron laughed so hard he started to __________.","cry","0.4900","9.49","7","0.59","2.5700","48","7"
"As Jill felt the sharp pain, she began to __________.","cry","0.4600","9.49","7","0.59","2.9600","48","7"
"If Frieda gets bad news she will probably __________.","cry","0.5300","9.49","7","0.59","2.8300","48","7"
"There was no calming Sue once she began to __________.","cry","0.5400","9.49","7","0.59","2.7800","48","7"
"The bite was so painful she began to __________.","cry","0.7700","9.49","7","0.59","1.6200","48","7"
"The teacher told the kids who lost not to __________.","cry","0.4000","9.49","7","0.59","2.5300","48","7"
"Courtney was so happy and relieved she started to __________.","cry","0.7100","9.49","7","0.59","1.9800","48","7"
"After the mother left, the baby began to loudly __________.","cry","0.7500","9.49","7","0.59","1.2600","48","7"
"When she lost her doll the girl began to __________.","cry","0.8400","9.49","7","0.59","1.0800","48","7"
"The hungry baby scrunched its face and started to __________.","cry","0.7400","9.49","7","0.59","1.7800","48","7"
"After getting hit by the ball, Tyler started to __________.","cry","0.7100","9.49","7","0.59","1.9500","48","7"
"His mother was so distraught she began to __________.","cry","0.8100","9.49","7","0.59","1.2300","48","7"
"When Joel twisted his ankle, he began to __________.","cry","0.3700","9.49","7","0.59","3.0700","48","7"
"When the robber trapped Dorothy, she began to __________.","cry","0.3700","9.49","7","0.59","2.4300","48","7"
"After receiving bad news, the patient began to __________.","cry","0.8300","9.49","7","0.59","1.1700","48","7"
"Every time Max got a vaccination he would __________.","cry","0.6900","9.49","7","0.59","2.3600","48","7"
"Mealtime was difficult after the baby began to __________.","cry","0.4700","9.49","7","0.59","2.6500","48","7"
"Annabelle was so angry, she began to __________.","cry","0.3700","9.49","7","0.59","2.7100","48","7"
"Molly stubbed her big toe and she began to __________.","cry","0.6500","9.49","7","0.59","2.3300","48","7"
"The little girl tripped and immediately began to __________.","cry","0.9000","9.49","7","0.59","0.6900","48","7"
"Due to the film's sad ending, Lia began to __________.","cry","0.8600","9.49","7","0.59","0.8500","48","7"
"When Mark's bike was stolen he started to __________.","cry","0.5800","9.49","7","0.59","2.3200","48","7"
"When Nancy saw the damage, she began to __________.","cry","0.8200","9.49","7","0.59","1.2700","48","7"
"Although she tried, the gardener couldn't make the crows __________.","leave","0.7500","11.25","21","0.67","1.7800","205","21"
"When the trip ended they were all sad to __________.","leave","0.7900","11.25","21","0.67","1.0900","205","21"
"It was so loud at the concert, James had to __________.","leave","0.6700","11.25","21","0.67","1.9400","205","21"
"Ryan watched the earthworm wiggle and __________.","squirm","0.5600","6.59","1","0.18","2.4400","1","2"
"Angry at the late employee, Brandon began to __________.","yell","0.5000","8.11","20","0.44","3.0800","9","16"
"Tommy was angry at his mom and started to __________.","yell","0.4500","8.11","20","0.44","2.6000","9","16"
"Jeff felt like he would never finish at that __________.","pace","0.4500","8.88","25","0.62","2.5700","43","22"
"The kids ran but couldn't keep up their father's __________.","pace","0.7400","8.88","25","0.62","1.6600","43","22"
"The children were quiet after hearing their parents __________.","argue","0.3500","9.95","0","0.63","3.0100","29","0"
"The little puppy outside the house started to __________.","bark","0.3600","7.80","12","0.57","2.4900","14","11"
"He didn't like the puppies because they would always __________.","bark","0.4900","7.80","12","0.57","2.6400","14","11"
"When angry, the neighbor's bulldog will start to __________.","bark","0.5000","7.80","12","0.57","1.5300","14","11"
"The father was greeted by the dog's friendly __________.","bark","0.4800","7.80","12","0.57","3.2300","14","11"
"While watching the funny movie, Kim was overcome with __________.","laughter","0.6800","8.54","1","0.56","1.4900",\N,\N
"The comedy show filled the women with __________.","laughter","0.4400","8.54","1","0.56","2.6700",\N,\N
"Weddings bring out excitement and general feelings of __________.","joy","0.3400","9.37","10","0.62","2.6400","40","8"
"The trip to the park filled the child with __________.","joy","0.4000","9.37","10","0.62","2.6800","40","8"
"At the birthday party, everyone was filled with __________.","joy","0.3700","9.37","10","0.62","2.4700","40","8"
"Fred's wife claimed he was too stoic to express __________.","emotion","0.4000","8.42","1","0.57","3.0300","34","0"
"Hearing noises from above, the confused man inspected the __________.","attic","0.3200","7.25","1","0.56","3.0400","16","1"
"Sitting inside, Mark could hear the rain loudly hitting the __________.","roof","0.7800","8.64","16","0.62","0.9900","59","11"
"What that old house really needs is a new __________.","roof","0.4000","8.64","16","0.62","3.6300","59","11"
"During the violent storm, lightning struck the house's __________.","roof","0.5400","8.64","16","0.62","1.8600","59","11"
"Rain water leaked through the big cracks on the __________.","roof","0.6000","8.64","16","0.62","2.2200","59","11"
"The contractor came to the house to repair the __________.","roof","0.4000","8.64","16","0.62","3.5000","59","11"
"Katherine can't enter without the code for the __________.","door","0.3600","10.89","35","0.65","3.0300","312","10"
"The guard told them to wait patiently by the __________.","door","0.5700","10.89","35","0.65","2.0500","312","10"
"Mary liked sewing a lot but needed a new __________.","machine","0.5100","11.70","0","0.67","2.0900","103","0"
"Kristin claimed to be the famous actor's biggest __________.","fan","0.9600","10.53","26","0.65","0.3200","18","20"
"After watching some baseball games she became a __________.","fan","0.8000","10.53","26","0.65","1.4300","18","20"
"To cool down the room, Sami turned on the __________.","fan","0.7800","10.53","26","0.65","1.0600","18","20"
"Due to the hot summer day, Mia bought a __________.","fan","0.3400","10.53","26","0.65","3.7200","18","20"
"To cool himself off, Doug sat near the __________.","fan","0.5100","10.53","26","0.65","2.8500","18","20"
"Sandra hung red and green Christmas lights from the __________.","tree","0.6000","10.21","9","0.66","2.3800","59","11"
"In the front lawn, Irvin planted a big, green __________.","tree","0.4400","10.21","9","0.66","2.4700","59","11"
"Hank found the kitten in a corner of the __________.","room","0.3800","11.35","24","0.67","3.2700",\N,\N
"The family's couch and TV were both in the __________.","room","0.3600","11.35","24","0.67","2.3800",\N,\N
"In his house, Ari placed picture frames in every __________.","room","0.7000","11.35","24","0.67","1.5900",\N,\N
"The city of Chicago is a metropolitan __________.","area","0.4800","11.99","3","0.68","2.8900","323","2"
"The restaurants on the west end were very __________.","expensive","0.4400","10.50","2","0.64","3.5400",\N,\N
"Susan declined the gift, claiming it was too __________.","expensive","0.7900","10.50","2","0.64","1.3800",\N,\N
"The artist loved his painting and knew it was __________.","good","0.3700","13.35","10","0.70","3.6800","807","10"
"The vacuum's defects affected its ability to __________.","clean","0.3800","10.50","9","0.64","1.9200","70","8"
"After the bathtub overflowed, Lynn used towels to __________.","clean","0.5300","10.50","9","0.64","2.3100","70","8"
"The mother was shocked when her daughter's room was __________.","clean","0.6600","10.50","9","0.64","1.9500","70","8"
"Be careful not to touch the pan when it's __________.","hot","0.9900","10.85","23","0.66","0.0800","130","26"
"Jeremy was sweating because the weather was so __________.","hot","0.6800","10.85","23","0.66","1.3400","130","26"
"She bought the pants only because they were __________.","cheap","0.4800","10.44","19","0.60","3.4400","24","18"
"At the rock concert, the music was extremely __________.","loud","0.9800","9.39","15","0.59","0.1600","20","10"
"Yolanda took the wet clothes outside to __________.","dry","0.9200","9.87","7","0.63","0.5300","68","8"
"In the mornings it was hard for Jim to __________.","wake","0.3700","9.40","31","0.63","3.4900","23","22"
"He slept so soundly that he was impossible to __________.","wake","0.7100","9.40","31","0.63","1.7500","23","22"
"The tornado left extensive damage in its __________.","wake","0.6300","9.40","31","0.63","1.5300","23","22"
"He slept quite deeply and was almost impossible to __________.","wake","0.7900","9.40","31","0.63","1.1100","23","22"
"When the manager leaves, the office is under Liam's __________.","control","0.4900","11.94","0","0.69","2.5800","223","0"
"Marlena thought Jack's behavior was out of __________.","control","0.3800","11.94","0","0.69","2.4700","223","0"
"They couldn't talk because it was too hard to __________.","hear","0.7500","11.41","38","0.62","1.4600","903","28"
"The speaker was shy and very hard to __________.","hear","0.7000","11.41","38","0.62","1.5000","903","28"
"In the loud restaurant it was hard to __________.","hear","0.8400","11.41","38","0.62","0.9100","903","28"
"His mother said the stress was too much to __________.","handle","0.5300","10.75","6","0.63","1.4600","53","6"
"Her disease created some difficulties but she could __________.","manage","0.4600","9.80","0","0.64","2.9100","20","2"
"Sally heard that our new teacher was impossible to __________.","please","0.4800","13.27","9","0.60","2.8800","62","3"
"During the championship game, the crowd was easy to __________.","please","0.3800","13.27","9","0.60","3.4300","62","3"
"The queen wasn't demanding so she was easy to __________.","please","0.7600","13.27","9","0.60","1.7200","62","3"
"The mother caressed her baby in an attempt to __________.","soothe","0.5000","5.66","8","0.28","2.7700","2","7"
"Pam needs a new doorbell because hers doesn't __________.","work","0.9000","13.02","19","0.70","0.6300","760","18"
"To provide for his family the young man would __________.","work","0.6800","13.02","19","0.70","1.8500","760","18"
"The family was nomadic and they would always __________.","move","0.6000","11.29","11","0.69","2.1900","171","5"
"Oliver tried, but the lever was too stiff to __________.","move","0.4800","11.29","11","0.69","1.9600","171","5"
"The room was so crowded Thomas couldn't __________.","move","0.4500","11.29","11","0.69","2.7200","171","5"
"The teenager was nervous about having to __________.","drive","0.3400","12.05","7","0.67","3.1400","105","5"
"The mother worked hard to teach her children to __________.","read","0.3200","12.58","35","0.67","3.9000","178","25"
"In her free time, Meredith really liked to __________.","read","0.4900","12.58","35","0.67","2.9100","178","25"
"After a long day, Carol found it relaxing to __________.","read","0.3700","12.58","35","0.67","3.3100","178","25"
"The babies were irritated and difficult to __________.","calm","0.3500","8.75","18","0.59","3.0300","35","15"
"When upset, the child was not easy to __________.","calm","0.3100","8.75","18","0.59","3.3400","35","15"
"The bottle was heavy and made it hard to __________.","carry","0.3100","10.51","16","0.67","3.0600","88","15"
"Judith went to college to learn how to __________.","teach","0.4200","10.02","16","0.62","3.6100","41","11"
"Jen's love for children and school convinced her to __________.","teach","0.8900","10.02","16","0.62","0.8500","41","11"
"Sharon majored in Education to learn how to __________.","teach","0.9500","10.02","16","0.62","0.4000","41","11"
"An expert in hiding, the thief was hard to __________.","find","0.6000","12.85","24","0.69","1.9100","399","11"
"When Jay got home his mother said they needed to __________.","talk","0.7800","11.43","20","0.66","1.3500","154","20"
"Jean was satisfied as her sculpture began to take __________.","shape","0.6800","10.05","14","0.65","1.6600","85","15"
"The child could identify the figure's color and __________.","shape","0.8200","10.05","14","0.65","1.2700","85","15"
"She only hosted the event to save __________.","money","0.5600","12.25","19","0.68","1.5900","265","10"
"Trent ignored his instructor's request not to wander __________.","off","0.4900","12.65","10","0.69","2.0400","639","7"
"Pressed for time, Beth made a quick grocery __________.","run","0.3300","12.32","31","0.69","2.1400","212","23"
"The burglar took the purse and quickly turned to __________.","run","0.7300","12.32","31","0.69","1.5300","212","23"
"To boost his circulation Tim goes for a __________.","run","0.4300","12.32","31","0.69","2.3600","212","23"
"To exercise, one might swim, bike, or __________.","run","0.6800","12.32","31","0.69","1.4400","212","23"
"The thief realized he had nowhere to __________.","run","0.3400","12.32","31","0.69","1.9300","212","23"
"With so much spare energy the girl needed to __________.","run","0.5100","12.32","31","0.69","2.8700","212","23"
"Every Saturday morning, Abby goes on a light __________.","run","0.4100","12.32","31","0.69","1.9600","212","23"
"To move quickly through the crowd he began to __________.","run","0.4200","12.32","31","0.69","2.5100","212","23"
"In order to stay in shape, Jessica liked to __________.","run","0.4600","12.32","31","0.69","2.5100","212","23"
"The cranky neighbor yelled at the kids to __________.","stop","0.4000","11.48","9","0.68","2.7100","120","8"
"The car suddenly appeared and Liz wasn't able to __________.","stop","0.3500","11.48","9","0.68","3.2300","120","8"
"Amber missed the bus even though she yelled __________.","stop","0.5600","11.48","9","0.68","2.1100","120","8"
"A village was discovered between the mountains, in a __________.","valley","0.7600","10.13","9","0.66","1.7400","73","10"
"From the mountaintop, Wyatt could see the whole __________.","valley","0.3300","10.13","9","0.66","3.0100","73","10"
"The mountaineer spotted a small town in the open __________.","valley","0.3300","10.13","9","0.66","3.2600","73","10"
"When the rain started, the hikers ran into a __________.","cave","0.5800","8.92","22","0.62","2.5000","9","19"
"The lucky explorers discovered diamonds in the dark __________.","cave","0.7300","8.92","22","0.62","1.4400","9","19"
"During the winter, the bear slept in its __________.","cave","0.6400","8.92","22","0.62","1.0700","9","19"
"Ethan used his pen to draw a small, dark __________.","circle","0.5300","9.90","5","0.65","3.1000","60","5"
"Kelly was lost and drove around in a __________.","circle","0.7900","9.90","5","0.65","1.2900","60","5"
"They made no progress; they just went in a __________.","circle","0.7000","9.90","5","0.65","2.1000","60","5"
"The townspeople were careless and often polluted the __________.","river","0.4200","10.21","8","0.65","2.7000","165","4"
"Between the two curtains there was a big __________.","gap","0.3300","8.81","20","0.64","3.3100","17","19"
"Between her two front teeth the woman had a __________.","gap","0.8300","8.81","20","0.64","1.2600","17","19"
"After climbing the mountain, they could see the wooded __________.","forest","0.3700","9.75","1","0.66","3.5300","66","0"
"David lost tug-of-war because he was too tired to __________.","pull","0.8200","10.25","21","0.61","1.2300","51","15"
"The strong landscaper removed the tree root after one __________.","pull","0.4100","10.25","21","0.61","3.5200","51","15"
"The sailor grabbed the rope and began to __________.","pull","0.6700","10.25","21","0.61","1.9700","51","15"
"Phil restarted the stalled lawn mower with a strong __________.","pull","0.7300","10.25","21","0.61","1.3800","51","15"
"The tree root didn't budge when Tim tried to __________.","pull","0.3700","10.25","21","0.61","3.7200","51","15"
"He knew about the prank they were trying to __________.","pull","0.8000","10.25","21","0.61","1.3400","51","15"
"Jim convinced her that it was a bad prank to __________.","pull","0.4300","10.25","21","0.61","2.4500","51","15"
"Only during recess were the students allowed to __________.","play","0.5200","11.92","12","0.68","1.8200","200","9"
"The brothers always had fun because they loved to __________.","play","0.3900","11.92","12","0.68","3.3500","200","9"
"Emily often brings her dog to the park to __________.","play","0.4600","11.92","12","0.68","1.9400","200","9"
"During recess, the elementary students liked to __________.","play","0.5900","11.92","12","0.68","2.0000","200","9"
"At the playground, the child needed someone else to __________.","play","0.3100","11.92","12","0.68","4.0700","200","9"
"A thorough worker, Jane treated each project with great __________.","care","0.6200","11.56","27","0.67","2.5800","162","19"
"The woman was very ill and needed constant __________.","care","0.6400","11.56","27","0.67","1.8200","162","19"
"Michael went to the colosseum to watch a __________.","fight","0.3600","10.60","28","0.67","2.8900","98","21"
"The rowdy player was ejected after a nasty __________.","fight","0.4600","10.60","28","0.67","3.0300","98","21"
"The simple, fun camp game soon escalated into a __________.","fight","0.5000","10.60","28","0.67","2.4800","98","21"
"The polar opposite brothers often got into a __________.","fight","0.8900","10.60","28","0.67","0.7400","98","21"
"The new couple's disagreement caused their first __________.","fight","0.7600","10.60","28","0.67","1.0500","98","21"
"Although Mark disagreed, he didn't put up a __________.","fight","0.9000","10.60","28","0.67","0.7500","98","21"
"Nick and Steven settled their issues with a __________.","fight","0.3400","10.60","28","0.67","3.9000","98","21"
"The friends aren't currently speaking because of their __________.","fight","0.4000","10.60","28","0.67","2.7400","98","21"
"Because Sam won't share with Lucy, the siblings are always in a __________.","fight","0.6800","10.60","28","0.67","2.1400","98","21"
"His mother silenced him to avoid a __________.","fight","0.5100","10.60","28","0.67","2.7500","98","21"
"Stubborn and prideful, Kevin never backed down from a __________.","fight","0.6800","10.60","28","0.67","1.7400","98","21"
"At the flea market, Grant sold popcorn at a __________.","stand","0.4200","10.79","8","0.67","2.5100","148","1"
"At the local fair, there was a fresh fruit __________.","stand","0.6300","10.79","8","0.67","2.3600","148","1"
"The patient was angry for receiving the wrong __________.","medicine","0.3200","9.89","0","0.64","3.0400","30","0"
"When the puppy became sick he needed __________.","medicine","0.5700","9.89","0","0.64","2.3600","30","0"
"The medicine didn't work so he needed another __________.","dose","0.4800","8.54","8","0.57","3.0000","11","11"
"She feared she would administer too large a __________.","dose","0.7600","8.54","8","0.57","1.5800","11","11"
"There is no cold that homemade soup cannot __________.","cure","0.7900","9.05","1","0.59","1.2700","28","1"
"The doctor found the medicine and prescribed the correct __________.","dosage","0.5000","7.62","0","0.55","1.5700","4","1"
"Nick didn't understand the double meaning of the ad's __________.","message","0.3700","12.42","1","0.65","4.0300","64","0"
"Hank won the dice game by rolling a specific __________.","number","0.8300","12.55","2","0.69","1.1500","472","2"
"The efficient group leader assigned each member a __________.","number","0.3800","12.55","2","0.69","2.3700","472","2"
"The kids' choreographed dance was a cute little __________.","number","0.5900","12.55","2","0.69","2.8900","472","2"
"Every morning Dale's mom reminded him to bring a __________.","lunch","0.3300","9.31","7","0.59","3.2800","33","7"
"Paige thought the color of the wall was rather __________.","dull","0.3400","8.44","24","0.56","3.4000","27","22"
"Although some knives were sharp, others were very __________.","dull","0.9800","8.44","24","0.56","0.1600","27","22"
"The viewers fell asleep because the presentation was __________.","boring","0.8700","9.45","10","0.54","0.8400",\N,\N
"Mason disliked the movie because he thought it was __________.","boring","0.3400","9.45","10","0.54","3.8500",\N,\N
"To break into the building he waited till __________.","dark","0.3200","11.17","8","0.66","2.5900","185","8"
"Even in the most trying times she kept her __________.","cool","0.5000","10.81","21","0.62","3.0000","62","18"
"Tired of beige walls, Ingrid painted them a bold __________.","red","0.3800","11.55","27","0.69","2.7100","197","21"
"The color most associated with anger is __________.","red","0.9700","11.55","27","0.69","0.2200","197","21"
"The color of the little boys' apple was __________.","red","0.5800","11.55","27","0.69","1.0500","197","21"
"Once he heard the bad news, Mark's face became __________.","red","0.3200","11.55","27","0.69","3.9500","197","21"
"After a run Ricky's face is always __________.","red","0.7500","11.55","27","0.69","1.3700","197","21"
"Between the sixth and seventh speeches there was a __________.","break","0.5500","10.77","11","0.67","1.9200",\N,\N
"During the crazy storm, the pedestrians hoped for a __________.","break","0.4000","10.77","11","0.67","3.6000",\N,\N
"The renowned professor was invited to give a __________.","speech","0.7000","10.50","2","0.66","1.1200","61","2"
"The marathon runner worked very hard to improve his __________.","time","0.5200","13.58","23","0.70","2.6700",\N,\N
"Every morning, the Chef prepared a flavorful __________.","breakfast","0.3500","8.94","0","0.59","3.2000","53","0"
"At the crowded restaurant, Matt had to __________.","wait","0.4600","11.03","30","0.61","3.1400","185","22"
"Excited for his birthday presents, the boy could barely __________.","wait","0.4800","11.03","30","0.61","2.4100","185","22"
"They had no news yet, so they could only __________.","wait","0.3900","11.03","30","0.61","2.5900","185","22"
"Bob planned to reopen the restaurant in the __________.","fall","0.3800","10.74","35","0.69","2.7000","147","23"
"The broken, swinging crane had the potential to __________.","fall","0.3500","10.74","35","0.69","3.5000","147","23"
"The boy cried when he hurt his knee after the __________.","fall","0.7100","10.74","35","0.69","1.6000","147","23"
"Although she was clumsy, Ellen tried hard not to __________.","fall","0.5900","10.74","35","0.69","2.1400","147","23"
"The man tried very hard not to slip or __________.","fall","0.8900","10.74","35","0.69","0.6800","147","23"
"The woman enjoyed looking at the leaves during the __________.","fall","0.7300","10.74","35","0.69","1.6500","147","23"
"If Alex drifts off he should really take a __________.","nap","0.7900","7.41","20","0.37","1.1700","4","19"
"After a tiring school day, the child needed a __________.","nap","0.7400","7.41","20","0.37","1.4100","4","19"
"The principal sat the prankster down and began to __________.","lecture","0.4700","8.47","0","0.59","2.8000","16","0"
"The whole neighborhood could hear the couple's loud __________.","argument","0.4500","10.81","0","0.64","3.0800",\N,\N
"The roommates ended their friendship after a silly __________.","argument","0.4300","10.81","0","0.64","2.1200",\N,\N
"Winston's prized chess set was missing a __________.","piece","0.4300","10.74","22","0.67","2.3100",\N,\N
"A gardener, Harry likes to fertilize plants with __________.","manure","0.3400","6.74","0","0.44","3.7800","6","1"
"To help her plants grow, Carly used a new __________.","fertilizer","0.7600","7.12","1","0.53","1.5200","4","0"
"On their doorstep was a flaming bag of dog __________.","poop","0.8000","7.00","15","0.27","1.1900","1","14"
"Karen realized she had stepped in a pile of __________.","poop","0.4900","7.00","15","0.27","3.0400","1","14"
"Ryan's crops flourished because they grew in rich __________.","soil","0.9300","8.94","14","0.63","0.5600","54","10"
"Jay's plants grew poorly but decayed into fertile __________.","soil","0.6100","8.94","14","0.63","2.5300","54","10"
"A plant's roots can extract nutrients from the __________.","soil","0.7200","8.94","14","0.63","1.2200","54","10"
"The farmer's plants grew well in the nutrient-dense __________.","soil","0.8400","8.94","14","0.63","1.1500","54","10"
"The fields of corn flourished due to the fertile __________.","soil","0.8200","8.94","14","0.63","1.0500","54","10"
"After playing outside, the child's face was covered in __________.","dirt","0.5300","8.94","14","0.58","1.6600","43","15"
"After hours doing yard work, Jude was covered in __________.","dirt","0.4900","8.94","14","0.58","2.1500","43","15"
"Nicola walked towards the lake till she hit the __________.","water","0.4400","11.57","7","0.67","3.1100","442","2"
"The cautious hiking enthusiast always carried some __________.","water","0.3900","11.57","7","0.67","3.6500","442","2"
"Skippy the dog was dirty because he hated the __________.","water","0.4500","11.57","7","0.67","1.8300","442","2"
"Jacob's mother asked him for a glass of __________.","water","0.6500","11.57","7","0.67","1.5200","442","2"
"The old barge could be seen moving through the __________.","water","0.4100","11.57","7","0.67","2.9400","442","2"
"Nicholas could see all of fish in the clear __________.","water","0.5000","11.57","7","0.67","2.5000","442","2"
"Jared burned his tongue while drinking the hot __________.","coffee","0.4500","9.82","3","0.63","2.1200","78","1"
"Every morning, Sophie drank a cup of __________.","coffee","0.6200","9.82","3","0.63","1.7600","78","1"
"To finish seasoning the salmon, Marge needed __________.","salt","0.3200","9.63","9","0.64","3.4000","46","8"
"Everyone thought the pasta dish needed more __________.","salt","0.3100","9.63","9","0.64","2.7800","46","8"
"Grace didn't like eating foods with a lot of __________.","salt","0.3900","9.63","9","0.64","3.1500","46","8"
"The puppy stopped running outside when it had to __________.","pee","0.6100","8.06","26","0.50","2.3300",\N,\N
"To promote sinus health, Pam used a saline nasal __________.","spray","0.6600","8.55","4","0.56","1.9200","16","4"
"Most people, when they eat fruit, don't eat the __________.","seeds","0.3100","8.77","15","0.60","2.7500",\N,\N
"To get the garden started one can use __________.","seeds","0.3200","8.77","15","0.60","3.2600",\N,\N
"They needed to add more honey to the __________.","tea","0.3400","9.07","27","0.62","3.6600",\N,\N
"Josie drank a large glass of milk every __________.","day","0.5200","12.39","25","0.70","1.5000","686","20"
"Mia wrote in her diary all through the __________.","night","0.3600","11.49","30","0.68","2.9000",\N,\N
"Hazel was extremely tired, because she hadn't slept that __________.","night","0.6600","11.49","30","0.68","1.9700",\N,\N
