,index,cloze_probability,dataset,CoRT,CoRT_std,condition,full_sentence,target_word,random_word,accepted,reason,cause_effect,dynamic_verb,orientation,negative,sentence_modified ,modified_sentence,"maybe: present/past/future, "
31,2106,0.65,block_baldwin,1,0,non-CoRT,The snow was high on the mountain’s peak,peak,hear,yes,,no,no,,,no,,
32,2124,0.4,peele,5,0,CoRT,The startled swimmer screamed when she saw the shark fin,fin,cement,yes,,yes,yes,person,no,no,,
33,2125,0.52,block_baldwin,1,0,non-CoRT,The state park was popular for its long trails,trails,contract,yes,,no,no,,,no,,
34,2169,0.62,peele,1,0,non-CoRT,The tennis player won the match with a high score,score,find,yes,,no,yes,,,no,,
35,2220,0.38,peele,1,0,non-CoRT,The vacuum's defects affected its ability to clean,clean,bark,yes,,yes,yes,,,no,,
36,2264,0.86,block_baldwin,1,0,non-CoRT,The woman’s shirt was so worn it had a hole,hole,vague,yes,,no,no,,,no,,
37,2293,0.68,peele,5,0,CoRT,There were hundreds of bees buzzing around the hive,hive,howl,yes,,no,yes,animal,no,no,,
38,2447,0.26,block_baldwin,1,0,non-CoRT,Too many men are out of work,work,big,yes,,no,no,,,no,,
39,192,0.84,block_baldwin,1.142857143,0.377964473,non-CoRT,American Presidents are limited to serving a period of eight years,years,laugh,yes,,no,yes,,,no,,
40,341,0.91,block_baldwin,1.142857143,0.377964473,non-CoRT,Bradley prefers cats over dogs,dogs,map,yes,,no,no,,,no,,
41,1459,0.89,block_baldwin,1.142857143,0.377964473,non-CoRT,The book was a steal at such a low price,price,silk,yes,,no,no,,,no,,
42,1514,0.86,block_baldwin,1.142857143,0.377964473,non-CoRT,The castle was protected by its stone walls,walls,steal,yes,,no,yes,,,no,,
43,1591,0.81,block_baldwin,1.142857143,0.377964473,non-CoRT,The crime rate has gone up this year,year,batch,yes,,no,no,,,no,,
44,1,0.84,block_baldwin,1.166666667,0.4082482905,non-CoRT,A Dalmatian dog is recognized by its black and white spots,spots,meal,yes,,no,no,,,no,,
45,39,0.53,peele,1.166666667,0.4082482905,non-CoRT,"After a busy week, I just want to relax",relax,tractor,yes,,yes,no,,,no,,
46,711,0.6,block_baldwin,1.166666667,0.4082482905,non-CoRT,Her dress was made of a very fine silk,silk,lead,yes,,no,no,,,no,,
47,761,0.53,peele,1.833333333,0.4082482905,non-CoRT,If Frieda gets bad news she will probably cry,cry,manage,no,invalid rating,yes,yes,,,no,,
48,889,0.89,peele,1.166666667,0.4082482905,non-CoRT,Jen's love for children and school convinced her to teach,teach,clown,yes,,no,yes,,,no,,
49,899,0.6,peele,4.833333333,0.4082482905,CoRT,Jessica went to the treadmill and started to slowly walk,walk,knitted,yes,,yes,yes,person,no,no,,
50,1164,0.9,peele,1.166666667,0.4082482905,non-CoRT,Pam needs a new doorbell because hers doesn't work,work,good,yes,,yes,no,,,no,,
51,1209,0.33,peele,1.166666667,0.4082482905,non-CoRT,Roger couldn't whistle yet as he was just a baby,baby,ham,yes,,yes,yes,,,no,,
52,1259,0.44,block_baldwin,1.166666667,0.4082482905,non-CoRT,She did not have the right key for the  lock,lock,whale,yes,,no,no,,,no,,
53,1282,0.56,peele,1.166666667,0.4082482905,non-CoRT,She only hosted the event to save money,money,shivered,yes,,yes,yes,,,no,,
54,1302,0.72,block_baldwin,4.166666667,0.4082482905,CoRT,She went to bed because she was tired,tired,had,yes,,yes,yes,person,no,no,,
55,1328,0.24,block_baldwin,1.166666667,0.4082482905,non-CoRT,Some people have never had a square meal,meal,attic,yes,,no,no,,,no,,
56,1518,0.48,block_baldwin,1.166666667,0.4082482905,non-CoRT,The cheerleaders were part of the popular crowd,crowd,fin,yes,,no,no,,,no,,
57,1778,0.26,block_baldwin,1.166666667,0.4082482905,non-CoRT,The gym class knew the rope would be a task,task,whale,yes,,no,no,,,no,,
58,2054,0.43,block_baldwin,1.166666667,0.4082482905,non-CoRT,The river ended three hundred miles from its mouth,mouth,for,yes,,no,no,,,no,,
59,2423,0.47,block_baldwin,1.833333333,0.4082482905,non-CoRT,To relax herself she liked to listen to smooth jazz,jazz,heart,yes,,yes,yes,,,no,,
60,2477,0.34,peele,1.166666667,0.4082482905,non-CoRT,Weddings bring out excitement and general feelings of joy,joy,wait,yes,,no,no,,,no,,
61,1158,0.71,peele,4.833333333,0.4082482905,CoRT,Out of the brown egg hatched a tiny yellow chick,chick,milk,yes,,no,yes,object,no,no,,
62,1495,0.73,peele,4.833333333,0.4082482905,CoRT,The burglar took the purse and quickly turned to run,run,mower,yes,,yes,yes,person,no,no,,
63,104,0.43,peele,4.8,0.4472135955,CoRT,"After returning home, Sharon hung her jacket on the hook",hook,large,yes,,yes,yes,person,no,no,,
64,105,0.5,peele,4.8,0.4472135955,CoRT,"After returning to his bedroom, the monk removed his robe",robe,model,yes,,yes,yes,person,no,no,,
65,111,0.81,peele,4.8,0.4472135955,CoRT,"After she bought the dress, she ripped off its tag",tag,size,yes,,yes,yes,person,no,no,,
66,228,0.4,peele,4.8,0.4472135955,CoRT,"As he left, the insulted man made a gesture",gesture,chickens,yes,,yes,yes,person,no,no,,
67,550,0.49,peele,4.8,0.4472135955,CoRT,Everyone on the cruise gasped and pointed out the massive whale,whale,gesture,yes,,yes,yes,group,no,no,,
68,551,0.31,peele,4.8,0.4472135955,CoRT,Everyone ran from the man like he was a monster,monster,dogs,yes,,yes,yes,group,no,no,,
69,693,0.52,peele,4.2,0.4472135955,CoRT,He wouldn't jump so his sister gave him a push,push,hate,yes,,yes,yes,person,yes,no,,
70,770,0.42,peele,4.8,0.4472135955,CoRT,"In class, Paula took out her notebook and wrote",wrote,price,yes,,yes,yes,person,no,no,,
71,826,0.36,peele,4.8,0.4472135955,CoRT,Isaac ran to the water cooler and filled his cup,cup,dog,yes,,yes,yes,person,no,no,,
72,968,0.56,peele,4.8,0.4472135955,CoRT,Laura jumped up and shouted after burning her hand,hand,pencil,yes,,yes,yes,person,no,no,,
73,1007,0.39,peele,4.8,0.4472135955,CoRT,Marcus struggled to build a birdhouse even with the instructions,instructions,kite,yes,,yes,yes,person,no,no,,
74,1140,0.32,peele,4.8,0.4472135955,CoRT,"Once he heard the bad news, Mark's face became red",red,crop,yes,,yes,yes,person,no,no,,
75,1143,0.92,peele,4.8,0.4472135955,CoRT,"Once the cake was unattended, the dog took a bite",bite,pull,yes,,yes,yes,animal,no,no,,
76,1651,0.68,peele,4.8,0.4472135955,CoRT,The earthquake made the photos fall off the wall,wall,push,yes,,no,yes,object,no,no,,
77,1738,0.76,peele,4.8,0.4472135955,CoRT,The frightened children ran from the growling dog,dog,Mrcoach,yes,,yes,yes,group,no,no,,
78,2046,0.42,peele,4.2,0.4472135955,CoRT,The reckless driver drove too quickly around the corner,corner,nervous,yes,,no,yes,person,no,no,,
79,2228,0.76,peele,4.2,0.4472135955,CoRT,The waitress wiped the table with a damp cloth,cloth,tag,yes,,no,yes,person,no,no,,
80,2515,0.53,peele,4.8,0.4472135955,CoRT,"When he fled the stage, the crowd began to boo",boo,head,yes,,yes,yes,person,no,no,,
81,188,0.51,peele,1.2,0.4472135955,non-CoRT,"Always full of energy, Wilson never seemed to tire",tire,chick,yes,,yes,no,,,no,,
82,316,0.72,peele,1.2,0.4472135955,non-CoRT,"Beth hasn't figured out the solution, but Martha has",has,due,yes,,no,no,,,no,,
83,374,0.84,peele,1.8,0.4472135955,non-CoRT,Chocolate is made from the roasted cacao bean,bean,bun,yes,,no,yes,,,no,,
84,416,0.95,peele,4.8,0.4472135955,CoRT,Dean dropped the cookies and had to make a fresh batch,batch,dresses,yes,,yes,yes,person,no,no,,
85,558,0.58,peele,1.2,0.4472135955,non-CoRT,Experts could not give Amy the answers she wanted,wanted,slept,yes,,no,yes,,,no,,
86,700,0.33,peele,4.8,0.4472135955,CoRT,Helen removed the paint from her face with a cloth,cloth,mouse,yes,,no,yes,person,no,no,,
87,744,0.36,peele,1.2,0.4472135955,non-CoRT,His worst fear was that the spectators would boo,boo,forest,yes,,no,no,,,no,,
88,937,0.97,peele,1.8,0.4472135955,non-CoRT,Karen lost lots of money after losing a foolish bet,bet,hive,yes,,yes,yes,,,yes,Karen lost lots of money from a foolish bet,
89,947,0.72,peele,1.2,0.4472135955,non-CoRT,Katie didn't know who the present was for,for,pull,yes,,no,no,,,no,,
90,1022,0.62,peele,1.8,0.4472135955,non-CoRT,Mary missed Ellen's birthday party because she was sick,sick,meat,yes,,yes,yes,,,no,,
91,1031,0.9,peele,1.2,0.4472135955,non-CoRT,May thought her leg was taking too long to heal,heal,road,yes,,no,no,,,no,,
92,1215,0.54,peele,1.8,0.4472135955,non-CoRT,"Running low on cookies, the bakery needed a new batch",batch,knitted,yes,,yes,yes,,,yes,"Low on cookies, the bakery needed a new batch",
93,1222,0.48,peele,1.2,0.4472135955,non-CoRT,Sally heard that our new teacher was impossible to please,please,seeds,yes,,no,no,,,no,,
94,1277,0.54,peele,1.2,0.4472135955,non-CoRT,She loved ice cream when she was a tiny girl,girl,slipped,yes,,no,no,,,no,,
95,1468,0.71,peele,4.8,0.4472135955,CoRT,The boy cried when he hurt his knee after the fall,fall,eggs,yes,,yes,yes,person,no,no,,
96,1553,0.35,peele,1.2,0.4472135955,non-CoRT,The color of the shirt's fabric was a beautiful blue,blue,puff,yes,,no,no,,,no,,
97,1647,0.36,peele,1.2,0.4472135955,non-CoRT,The driver was concerned about the heavy load,load,cheer,yes,,no,no,,,no,,
98,2083,0.59,peele,1.2,0.4472135955,non-CoRT,The score of the championship tennis match was tied,tied,cry,yes,,no,no,,,no,,
99,2224,0.32,peele,1.2,0.4472135955,non-CoRT,The villagers had never ventured out of the village,village,mean,yes,,no,yes,,,no,,
100,2284,0.89,peele,1.2,0.4472135955,non-CoRT,Their water source on the farm was the old well,well,bill,yes,,no,no,,,no,,
101,2304,0.48,peele,1.2,0.4472135955,non-CoRT,They didn't agree with the concepts the school taught,taught,price,yes,,no,no,,,no,,
102,2320,0.34,peele,1.8,0.4472135955,non-CoRT,They needed to add more honey to the tea,tea,money,yes,,no,yes,,,yes,They needed more honey in the tea,
103,2388,0.32,peele,1.8,0.4472135955,non-CoRT,"To get the garden started, one can use seeds",seeds,dog,yes,,yes,no,,,no,,
104,2427,0.42,peele,4.2,0.4472135955,CoRT,"To stay fit, Jim participates in a basketball game",game,chores,yes,,yes,yes,person,no,yes,"To stay fit, Jim plays in a basketball game",
105,2538,0.38,peele,1.2,0.4472135955,non-CoRT,When she retired the CEO would live on a pension,pension,month,yes,,yes,yes,,,no,,
106,929,0.54,peele,4.8,0.4472135955,CoRT,Juice spilled when the baby knocked over the cup,cup,cry,yes,,yes,yes,person,no,no,,
107,1047,0.44,peele,4.8,0.4472135955,CoRT,Mike exited the shower and quickly put on his robe,robe,art,yes,,yes,yes,person,no,no,,
108,2243,0.35,peele,4.8,0.4472135955,CoRT,The woman applied concealer with a gentle touch,touch,hated,yes,,no,yes,person,no,no,,
109,506,0.94,block_baldwin,1.285714286,0.4879500365,non-CoRT,"Ellen enjoys poetry, painting, and other forms of art",art,salt,yes,,no,yes,,,no,,
110,658,0.77,block_baldwin,1.285714286,0.4879500365,non-CoRT,He hoped his grumpy teen was just going through a phase,phase,meditate,yes,,no,no,,,no,,
111,1243,0.78,block_baldwin,1.714285714,0.4879500365,non-CoRT,"Several hours into his shift, Lyle was ready for a break",break,reach,yes,,yes,no,,,no,,
112,1757,0.8,block_baldwin,1.285714286,0.4879500365,non-CoRT,The girl knew a lot for her age,age,heal,yes,,no,no,,,no,,
113,2020,0.9,block_baldwin,1.285714286,0.4879500365,non-CoRT,The princess was only permitted to marry a prince,prince,mate,yes,,no,yes,,,no,,
114,1504,0.87,block_baldwin,1.714285714,0.4879500365,non-CoRT,The candles smelled even better when they were lit,lit,duck,yes,,yes,no,,,no,,
115,107,0.84,peele,4.75,0.5,CoRT,"After saying goodbye, Tim gave his wife a quick kiss",kiss,leash,yes,,yes,yes,person,no,no,,
116,622,0.47,peele,4.75,0.5,CoRT,Greg clutched his queasy stomach and began to vomit,vomit,mush,yes,,yes,yes,person,no,no,,
117,640,0.34,peele,4.75,0.5,CoRT,He blew out his cigarette smoke in a small puff,puff,lipstick,yes,,no,yes,person,no,no,,
118,657,0.67,peele,4.75,0.5,CoRT,He heard a noise at midnight and grabbed his gun,gun,lit,yes,,yes,yes,person,no,no,,
119,1029,0.38,peele,4.75,0.5,CoRT,Matt topped the nachos with cheddar cheese and shredded lettuce,lettuce,family,yes,,no,yes,person,no,no,,
120,1242,0.33,peele,4.75,0.5,CoRT,Several girls fought over the store's last remaining dresses,dresses,soothe,yes,,no,yes,group,no,no,,
121,1505,0.34,peele,4.75,0.5,CoRT,The captain steered the ship and narrowly avoided the iceberg,iceberg,huff,yes,,yes,yes,person,no,no,,
122,1754,0.52,peele,4.25,0.5,CoRT,The girl got in trouble trying to pass a note,note,doubt,yes,,yes,yes,person,no,no,,
123,1802,0.41,peele,4.75,0.5,CoRT,The huge monster thundered away with a roar,roar,beach,yes,,no,yes,animal,no,no,,
124,1838,0.89,peele,4.75,0.5,CoRT,The kids ran through the sprinklers on the front lawn,lawn,will,yes,,no,yes,group,no,no,,
125,1915,0.69,block_baldwin,4.75,0.5,CoRT,The matador ran when the bull began to charge,charge,jar,yes,,yes,yes,animal,no,no,,
126,1948,0.7,peele,4.75,0.5,CoRT,The musician plucked at the strings of his flatguitar,flatguitar,care,yes,,no,yes,person,no,no,,
127,2001,0.44,peele,4.75,0.5,CoRT,The pirates escaped with a large bag of gold,gold,boo,yes,,no,yes,group,no,no,,
128,2120,0.77,peele,4.75,0.5,CoRT,The squirrel dashed by in order to bury a nut,nut,monster,yes,,yes,yes,animal,no,no,,
129,2172,0.9,peele,4.75,0.5,CoRT,The thief ran away after taking the woman's purse,purse,sour,yes,,yes,yes,person,no,no,,
130,2191,0.56,peele,4.25,0.5,CoRT,The town flooded after a leak in the dam,dam,hull,yes,,yes,yes,object,no,no,,
131,2547,0.49,peele,4.25,0.5,CoRT,"When the building came down, there was a loud crash",crash,tie,yes,,yes,yes,object,no,no,,
132,102,0.98,peele,4.25,0.5,CoRT,"After receiving a treat, the dog's tail began to wag",wag,rails,yes,,yes,yes,animal,no,no,,
133,117,0.37,peele,4.25,0.5,CoRT,"After stubbing her toe, the woman let slip a curse",curse,lure,yes,,yes,yes,person,no,no,,
134,310,0.57,peele,4.25,0.5,CoRT,Ben cleaned out his blocked sinuses with a saline solution,solution,shook,yes,,no,yes,person,no,no,,
135,362,0.45,peele,1.25,0.5,non-CoRT,Casey didn't go to the movie theater alone,alone,wine,yes,,no,yes,,,no,,
136,370,0.82,peele,1.25,0.5,non-CoRT,Charles knew that the woman was out of his league,league,wrote,yes,,no,no,,,no,,
137,446,0.37,peele,1.75,0.5,non-CoRT,Drake didn't like eating barbecued meat because of the taste,taste,do,yes,,yes,yes,,,yes,Drake didn't like eating barbecued meat because of the taste,
138,535,0.64,peele,4.25,0.5,CoRT,"Every morning, Liz would carefully brush her hair",hair,void,yes,,no,yes,person,no,no,,
139,601,0.62,peele,4.25,0.5,CoRT,"Frustrated with his teammates, Julian stormed off in a huff",huff,sleep,yes,,yes,yes,person,no,no,,
140,648,0.7,block_baldwin,4.25,0.5,CoRT,He crept into the room without a sound,sound,solution,yes,,no,yes,person,no,no,,
141,688,0.66,peele,1.25,0.5,non-CoRT,"He was so silly, the kids called him a clown",clown,expensive,yes,,yes,yes,,,no,,
142,697,0.47,peele,1.25,0.5,non-CoRT,Heather's young kids were only one and three,three,limited,yes,,no,no,,,no,,
143,757,0.43,peele,1.25,0.5,non-CoRT,Ian's favorite pie was either apple or cherry,cherry,oil,yes,,no,no,,,no,,
144,814,0.32,peele,4.75,0.5,CoRT,"In woodshop, Alex smoothed the baseball bat with the sander",sander,steal,yes,,no,yes,person,no,no,,
145,819,0.36,peele,4.25,0.5,CoRT,"Instead of buying a new phone, Shannon replaced the battery",battery,god,no,invalid rating,yes,yes,person,no,no,,
146,825,0.48,peele,1.25,0.5,non-CoRT,Isaac didn't know what her behavior could mean,mean,gas,yes,,no,no,,,no,,
147,831,0.34,peele,1.25,0.5,non-CoRT,It is important for swimmers to learn how to float,float,mace,yes,,no,yes,,,no,,
148,835,0.84,peele,1.25,0.5,non-CoRT,It seemed like the accident shook her to the core,core,burp,yes,,no,yes,,,no,,
149,839,0.96,peele,1.25,0.5,non-CoRT,It was announced the two companies would merge,merge,gin,yes,,no,yes,,,no,,
150,849,0.45,peele,4.75,0.5,CoRT,It was too windy so Jen reeled in her kite,kite,lettuce,yes,,yes,yes,person,no,no,,
151,903,0.73,peele,1.75,0.5,non-CoRT,Jill is frustrated by people who are always late,late,peck,yes,,no,no,,,no,,
152,905,0.43,peele,1.75,0.5,non-CoRT,Jim convinced her that it was a bad prank to pull,pull,bag,yes,,no,yes,,,no,,
153,965,0.5,peele,1.25,0.5,non-CoRT,Larry's motto was always do what you want,want,meat,yes,,no,no,,,no,,
154,970,0.67,peele,1.25,0.5,non-CoRT,Lee wouldn't get allowance if she didn't finish her chores,chores,wander,yes,,yes,no,,,no,,
155,995,0.33,peele,1.75,0.5,non-CoRT,Malcolm wanted to tidy the lawn but had no mower,mower,wrong,yes,,yes,no,,,no,,
156,1000,0.79,peele,1.25,0.5,non-CoRT,Many people don't recycle even though they should,should,leash,yes,,no,yes,,,no,,
157,1009,0.76,peele,1.75,0.5,non-CoRT,Marie pulled out the clothes she wanted to wear,wear,weight,yes,,yes,yes,,,no,,
158,1023,0.35,peele,4.75,0.5,CoRT,Mary was upset she spilled coffee on her favorite blouse,blouse,three,yes,,yes,yes,person,no,no,,
159,1093,0.63,peele,1.25,0.5,non-CoRT,Nina had no confidence and always expected to fail,fail,ribs,yes,,yes,no,,,no,,
160,1159,0.77,peele,1.25,0.5,non-CoRT,"Over the summer, Tyler wanted something to do",do,white,yes,,no,no,,,no,,
161,1193,0.72,peele,1.75,0.5,non-CoRT,Rebecca was gullible but she was not stupid,stupid,bet,yes,,no,no,,,no,,
162,1249,0.42,peele,1.75,0.5,non-CoRT,She adores rain but doesn't at all like snow,snow,wake,yes,,no,no,,,no,,
163,1309,0.72,peele,1.25,0.5,non-CoRT,Shelly wanted to be a scientist working at a lab,lab,girl,yes,,no,yes,,,no,,
164,1326,0.38,peele,1.75,0.5,non-CoRT,Some people don't enjoy food and only eat to survive,survive,fun,yes,,yes,yes,,,no,,
165,1390,0.58,peele,4.75,0.5,CoRT,The actress rolled her eyes and left in a huff,huff,badge,yes,,yes,yes,person,no,no,,
166,1456,0.5,peele,4.75,0.5,CoRT,The boat sailed faster after tightly pulling in the sail,sail,rat,yes,,yes,yes,object,no,no,,
167,1493,0.81,peele,1.25,0.5,non-CoRT,The building isn't for sale but it's available to rent,rent,leash,yes,,no,no,,,no,,
168,1540,0.62,peele,4.75,0.5,CoRT,The children spent hours at the beach making a castle,castle,hot,yes,,no,yes,group,no,no,,
169,1550,0.76,peele,1.75,0.5,non-CoRT,The college student looked for a summer job,job,walls,yes,,no,yes,,,no,,
170,1560,0.37,peele,1.25,0.5,non-CoRT,The company said they were looking to hire,hire,lab,yes,,no,yes,,,no,,
171,1562,0.65,peele,1.25,0.5,non-CoRT,The competitive students were always afraid to lose,lose,gas,yes,,no,no,,,no,,
172,1564,0.49,peele,1.75,0.5,non-CoRT,The confident man believed he was right without a doubt,doubt,hire,yes,,no,no,,,no,,
173,1573,0.92,peele,4.25,0.5,CoRT,The cop entered the building and showed his badge,badge,tea,yes,,yes,yes,person,no,no,,
174,1579,0.36,peele,1.25,0.5,non-CoRT,The couple realized they needed new crystal glasses,glasses,sick,yes,,no,no,,,no,,
175,1619,0.4,peele,1.25,0.5,non-CoRT,The details surrounding the crime were extremely vague,vague,nails,yes,,no,no,,,no,,
176,1658,0.67,peele,1.25,0.5,non-CoRT,The email offer for a free car was a scam,scam,bull,yes,,no,no,,,no,,
177,1777,0.59,peele,4.25,0.5,CoRT,The guilty children fled to avoid their mother's wrath,wrath,fail,yes,,yes,yes,group,no,no,,
178,1832,0.55,peele,1.75,0.5,non-CoRT,The key to a great burger is good quality meat,meat,doubt,yes,,no,no,,,no,,
179,1902,0.35,peele,1.25,0.5,non-CoRT,The man read a book while his wife slept,slept,touch,yes,,no,yes,,,no,,
180,1933,0.77,peele,1.25,0.5,non-CoRT,The mother had included each child in her will,will,cry,yes,,no,no,,,no,,
181,1969,0.81,peele,4.75,0.5,CoRT,The officer barged in and quickly flashed his badge,badge,cry,yes,,yes,yes,person,no,no,,
182,1994,0.64,peele,1.75,0.5,non-CoRT,The phone call about a free cruise was a scam,scam,expected,yes,,no,no,,,no,,
183,2042,0.49,peele,1.75,0.5,non-CoRT,The range of options on the menu was very limited,limited,girls,yes,,no,no,,,no,,
184,2080,0.61,peele,4.75,0.5,CoRT,The scared girl ran upstairs to her bedroom and hid,hid,suit,yes,,yes,yes,person,no,no,,
185,2116,0.74,peele,4.75,0.5,CoRT,The soup was extremely hot and burned Matt's tongue,tongue,search,yes,,yes,yes,object,no,no,,
186,2140,0.45,peele,1.75,0.5,non-CoRT,The student discussed his research proposal with his professor,professor,crop,yes,,no,yes,,,no,,
187,2145,0.63,peele,1.25,0.5,non-CoRT,The sugar content in Ivy's cake was too high,high,scam,yes,,no,no,,,no,,
188,2326,0.75,peele,4.75,0.5,CoRT,They threw eggs at Barry but he knew to duck,duck,wine,yes,,yes,yes,group,no,no,,
189,2355,0.4,peele,1.25,0.5,non-CoRT,Timothy was hesitant when he had to make a decision,decision,wear,yes,,yes,no,,,no,,
190,2403,0.51,peele,1.25,0.5,non-CoRT,"To learn responsibility, each child should have a chore",chore,place,yes,,yes,yes,,,no,,
191,2504,0.45,peele,1.75,0.5,non-CoRT,"When at the fair, her kids always have great times",times,loan,yes,,yes,no,,,no,,
192,2570,0.48,peele,1.75,0.5,non-CoRT,"When travelling, tourists like to carry items in a bag",bag,roof,no,invalid rating,yes,yes,,,no,,
193,2628,0.8,peele,1.25,0.5,non-CoRT,You should always read it over before signing a contract,contract,tool,yes,,no,yes,,,no,,
194,1884,0.36,peele,4.333333333,0.5163977795,CoRT,The little puppy outside the house started to bark,bark,touch,yes,,no,no,animal,no,no,,
195,76,0.54,peele,1.666666667,0.5163977795,non-CoRT,After his episode everyone thought the man was crazy,crazy,fan,yes,,yes,no,,,no,,
196,887,0.45,peele,1.333333333,0.5163977795,non-CoRT,Jeff felt like he would never finish at that pace,pace,tired,yes,,no,no,,,no,,
197,1432,0.74,block_baldwin,1.333333333,0.5163977795,non-CoRT,The baseball player’s cap protected him from the sun,sun,clean,yes,,no,yes,,,no,,
198,2408,0.42,peele,4.333333333,0.5163977795,CoRT,To move quickly through the crowd he began to run,run,glasses,yes,,yes,yes,person,no,no,,
199,71,0.71,peele,4.666666667,0.5163977795,CoRT,"After getting hit by the ball, Tyler started to cry",cry,bull,yes,,yes,yes,person,no,no,,
200,579,0.72,block_baldwin,1.333333333,0.5163977795,non-CoRT,For his interview Mr. Jones needed a new suit,suit,village,yes,,no,no,,,no,,
201,636,0.71,peele,1.333333333,0.5163977795,non-CoRT,Harrison didn't want to clip the wings of his bird,bird,fair,yes,,no,yes,,,no,,
202,649,0.49,peele,1.666666667,0.5163977795,non-CoRT,He didn't like the puppies because they would always bark,bark,mouse,yes,,yes,no,,,no,,
203,710,0.46,peele,1.333333333,0.5163977795,non-CoRT,Her disease created some difficulties but she could manage,manage,age,yes,,no,yes,,,no,,
204,928,0.42,peele,1.666666667,0.5163977795,non-CoRT,Judith went to college to learn how to teach,teach,cry,yes,,yes,yes,,,no,,
205,958,0.44,peele,1.333333333,0.5163977795,non-CoRT,Kids don't like that particular fruit because it's sour,sour,nut,yes,,yes,no,,,no,,
206,1014,0.38,peele,1.333333333,0.5163977795,non-CoRT,Marlena thought Jack's behavior was out of control,control,art,yes,,no,no,,,no,,
