display,sentence,target word,cloze probability,Log Hal Frequency,Phonological Neighbors,Semantic Neighborhood Density,Response Entropy,densityA,densityB,full_sentence,iti_dur_ms,trial_dur_ms,ShowProgressBar,randomise_blocks
trial,The mother was excited to hold her newborn ,baby,0.66,10.49,4,0.65,1.5,62,4,The mother was excited to hold her newborn baby,500.0,10000.0,0.0,5
end,,,,,,,,,,,,,,5
instructions,,,,,,,,,,,,,,6
trial,The mother was excited to hold her newborn ,baby,0.66,10.49,4,0.65,1.5,62,4,The mother was excited to hold her newborn baby,500.0,10000.0,0.0,6
break,,,,,,,,,,,,,1.0,6
trial,The disruptive students were given a warning by the ,teacher,0.89,9.74,3,0.65,0.79,\N,\N,The disruptive students were given a warning by the teacher,500.0,10000.0,0.0,6
break,,,,,,,,,,,,,1.0,6
trial,The scary story had a goblin and a ,witch,0.31,9.00,18,0.60,3.18,5,15,The scary story had a goblin and a witch,500.0,10000.0,0.0,6
end,,,,,,,,,,,,,,6
instructions,,,,,,,,,,,,,,7
trial,The scary story had a goblin and a ,witch,0.31,9.00,18,0.60,3.18,5,15,The scary story had a goblin and a witch,500.0,10000.0,0.0,7
break,,,,,,,,,,,,,1.0,7
trial,The crazy old lady was thought of as a ,witch,0.45,9.00,18,0.60,3.49,5,15,The crazy old lady was thought of as a witch,500.0,10000.0,0.0,7
break,,,,,,,,,,,,,1.0,7
trial,Dennis looked sweet but really he was a ,jerk,0.35,8.47,13,0.39,3.75,2,10,Dennis looked sweet but really he was a jerk,500.0,10000.0,0.0,7
end,,,,,,,,,,,,,,7
instructions,,,,,,,,,,,,,,8
trial,Dennis looked sweet but really he was a ,jerk,0.35,8.47,13,0.39,3.75,2,10,Dennis looked sweet but really he was a jerk,500.0,10000.0,0.0,8
break,,,,,,,,,,,,,1.0,8
trial,After his episode everyone thought the man was ,crazy,0.54,9.77,1,0.60,2.65,34,0,After his episode everyone thought the man was crazy,500.0,10000.0,0.0,8
break,,,,,,,,,,,,,1.0,8
trial,The incubated egg soon hatched into a baby ,chick,0.51,8.06,24,0.55,2.39,3,22,The incubated egg soon hatched into a baby chick,500.0,10000.0,0.0,8
end,,,,,,,,,,,,,,8
instructions,,,,,,,,,,,,,,9
trial,The incubated egg soon hatched into a baby ,chick,0.51,8.06,24,0.55,2.39,3,22,The incubated egg soon hatched into a baby chick,500.0,10000.0,0.0,9
break,,,,,,,,,,,,,1.0,9
trial,It is painful to have diseases like ,cancer,0.36,9.81,5,0.63,3.26,25,4,It is painful to have diseases like cancer,500.0,10000.0,0.0,9
break,,,,,,,,,,,,,1.0,9
trial,"Every morning, Kate is driven to school by her ",mom,0.43,9.67,15,0.57,2.24,\N,\N,"Every morning, Kate is driven to school by her mom",500.0,10000.0,0.0,9
end,,,,,,,,,,,,,,9
instructions,,,,,,,,,,,,,,10
trial,"Every morning, Kate is driven to school by her ",mom,0.43,9.67,15,0.57,2.24,\N,\N,"Every morning, Kate is driven to school by her mom",500.0,10000.0,0.0,10
break,,,,,,,,,,,,,1.0,10
trial,The baby's face puckered when she ate something ,sour,0.94,7.76,13,0.55,0.48,3,7,The baby's face puckered when she ate something sour,500.0,10000.0,0.0,10
break,,,,,,,,,,,,,1.0,10
trial,Some people won't eat lemons because they are too ,sour,0.75,7.76,13,0.55,1.2,3,7,Some people won't eat lemons because they are too sour,500.0,10000.0,0.0,10
end,,,,,,,,,,,,,,10
instructions,,,,,,,,,,,,,,11
trial,Some people won't eat lemons because they are too ,sour,0.75,7.76,13,0.55,1.2,3,7,Some people won't eat lemons because they are too sour,500.0,10000.0,0.0,11
break,,,,,,,,,,,,,1.0,11
trial,Kids don't like that particular fruit because it's ,sour,0.44,7.76,13,0.55,2.94,3,7,Kids don't like that particular fruit because it's sour,500.0,10000.0,0.0,11
break,,,,,,,,,,,,,1.0,11
trial,Jerry didn't like the candy because it was too ,sweet,0.43,9.65,7,0.63,2.15,\N,\N,Jerry didn't like the candy because it was too sweet,500.0,10000.0,0.0,11
end,,,,,,,,,,,,,,11
instructions,,,,,,,,,,,,,,12
trial,Jerry didn't like the candy because it was too ,sweet,0.43,9.65,7,0.63,2.15,\N,\N,Jerry didn't like the candy because it was too sweet,500.0,10000.0,0.0,12
break,,,,,,,,,,,,,1.0,12
trial,Summer vacation is a time to lounge around and ,relax,0.62,8.68,0,0.50,2.24,19,0,Summer vacation is a time to lounge around and relax,500.0,10000.0,0.0,12
break,,,,,,,,,,,,,1.0,12
trial,Joe liked the foreign city but didn't want to ,stay,0.34,10.80,8,0.67,3.05,113,7,Joe liked the foreign city but didn't want to stay,500.0,10000.0,0.0,12
end,,,,,,,,,,,,,,12
instructions,,,,,,,,,,,,,,13
trial,Joe liked the foreign city but didn't want to ,stay,0.34,10.80,8,0.67,3.05,113,7,Joe liked the foreign city but didn't want to stay,500.0,10000.0,0.0,13
break,,,,,,,,,,,,,1.0,13
trial,"After his summer vacation, Simon's skin color was very ",tan,0.41,9.06,23,0.58,1.93,9,23,"After his summer vacation, Simon's skin color was very tan",500.0,10000.0,0.0,13
break,,,,,,,,,,,,,1.0,13
trial,The employee learned to work with people she didn't ,like,0.9,13.88,29,0.70,0.65,1290,24,The employee learned to work with people she didn't like,500.0,10000.0,0.0,13
end,,,,,,,,,,,,,,13
instructions,,,,,,,,,,,,,,14
trial,The employee learned to work with people she didn't ,like,0.9,13.88,29,0.70,0.65,1290,24,The employee learned to work with people she didn't like,500.0,10000.0,0.0,14
break,,,,,,,,,,,,,1.0,14
trial,At around ,walk,0.58,10.41,15,0.64,1.77,100,14,At around walk,500.0,10000.0,0.0,14
break,,,,,,,,,,,,,1.0,14
trial,Jessica went to the treadmill and started to slowly ,walk,0.6,10.41,15,0.64,1.79,100,14,Jessica went to the treadmill and started to slowly walk,500.0,10000.0,0.0,14
end,,,,,,,,,,,,,,14
instructions,,,,,,,,,,,,,,15
trial,Jessica went to the treadmill and started to slowly ,walk,0.6,10.41,15,0.64,1.79,100,14,Jessica went to the treadmill and started to slowly walk,500.0,10000.0,0.0,15
break,,,,,,,,,,,,,1.0,15
trial,"After waiting three hours, Cal whined and started to ",cry,0.5,9.49,7,0.59,2.85,48,7,"After waiting three hours, Cal whined and started to cry",500.0,10000.0,0.0,15
break,,,,,,,,,,,,,1.0,15
trial,"As Jill felt the sharp pain, she began to ",cry,0.46,9.49,7,0.59,2.96,48,7,"As Jill felt the sharp pain, she began to cry",500.0,10000.0,0.0,15
end,,,,,,,,,,,,,,15
instructions,,,,,,,,,,,,,,16
trial,"As Jill felt the sharp pain, she began to ",cry,0.46,9.49,7,0.59,2.96,48,7,"As Jill felt the sharp pain, she began to cry",500.0,10000.0,0.0,16
break,,,,,,,,,,,,,1.0,16
trial,There was no calming Sue once she began to ,cry,0.54,9.49,7,0.59,2.78,48,7,There was no calming Sue once she began to cry,500.0,10000.0,0.0,16
break,,,,,,,,,,,,,1.0,16
trial,The teacher told the kids who lost not to ,cry,0.4,9.49,7,0.59,2.53,48,7,The teacher told the kids who lost not to cry,500.0,10000.0,0.0,16
end,,,,,,,,,,,,,,16
instructions,,,,,,,,,,,,,,17
trial,The teacher told the kids who lost not to ,cry,0.4,9.49,7,0.59,2.53,48,7,The teacher told the kids who lost not to cry,500.0,10000.0,0.0,17
break,,,,,,,,,,,,,1.0,17
trial,"After the mother left, the baby began to loudly ",cry,0.75,9.49,7,0.59,1.26,48,7,"After the mother left, the baby began to loudly cry",500.0,10000.0,0.0,17
break,,,,,,,,,,,,,1.0,17
trial,The hungry baby scrunched its face and started to ,cry,0.74,9.49,7,0.59,1.78,48,7,The hungry baby scrunched its face and started to cry,500.0,10000.0,0.0,17
end,,,,,,,,,,,,,,17
instructions,,,,,,,,,,,,,,18
trial,The hungry baby scrunched its face and started to ,cry,0.74,9.49,7,0.59,1.78,48,7,The hungry baby scrunched its face and started to cry,500.0,10000.0,0.0,18
break,,,,,,,,,,,,,1.0,18
trial,His mother was so distraught she began to ,cry,0.81,9.49,7,0.59,1.23,48,7,His mother was so distraught she began to cry,500.0,10000.0,0.0,18
break,,,,,,,,,,,,,1.0,18
trial,"When the robber trapped Dorothy, she began to ",cry,0.37,9.49,7,0.59,2.43,48,7,"When the robber trapped Dorothy, she began to cry",500.0,10000.0,0.0,18
end,,,,,,,,,,,,,,18
instructions,,,,,,,,,,,,,,19
trial,"When the robber trapped Dorothy, she began to ",cry,0.37,9.49,7,0.59,2.43,48,7,"When the robber trapped Dorothy, she began to cry",500.0,10000.0,0.0,19
break,,,,,,,,,,,,,1.0,19
trial,Every time Max got a vaccination he would ,cry,0.69,9.49,7,0.59,2.36,48,7,Every time Max got a vaccination he would cry,500.0,10000.0,0.0,19
break,,,,,,,,,,,,,1.0,19
trial,"Annabelle was so angry, she began to ",cry,0.37,9.49,7,0.59,2.71,48,7,"Annabelle was so angry, she began to cry",500.0,10000.0,0.0,19
end,,,,,,,,,,,,,,19
instructions,,,,,,,,,,,,,,20
trial,"Annabelle was so angry, she began to ",cry,0.37,9.49,7,0.59,2.71,48,7,"Annabelle was so angry, she began to cry",500.0,10000.0,0.0,20
break,,,,,,,,,,,,,1.0,20
trial,The little girl tripped and immediately began to ,cry,0.9,9.49,7,0.59,0.69,48,7,The little girl tripped and immediately began to cry,500.0,10000.0,0.0,20
break,,,,,,,,,,,,,1.0,20
trial,When Mark's bike was stolen he started to ,cry,0.58,9.49,7,0.59,2.32,48,7,When Mark's bike was stolen he started to cry,500.0,10000.0,0.0,20
end,,,,,,,,,,,,,,20
instructions,,,,,,,,,,,,,,21
trial,When Mark's bike was stolen he started to ,cry,0.58,9.49,7,0.59,2.32,48,7,When Mark's bike was stolen he started to cry,500.0,10000.0,0.0,21
break,,,,,,,,,,,,,1.0,21
trial,"Although she tried, the gardener couldn't make the crows ",leave,0.75,11.25,21,0.67,1.78,205,21,"Although she tried, the gardener couldn't make the crows leave",500.0,10000.0,0.0,21
break,,,,,,,,,,,,,1.0,21
trial,"It was so loud at the concert, James had to ",leave,0.67,11.25,21,0.67,1.94,205,21,"It was so loud at the concert, James had to leave",500.0,10000.0,0.0,21
end,,,,,,,,,,,,,,21
instructions,,,,,,,,,,,,,,22
trial,"It was so loud at the concert, James had to ",leave,0.67,11.25,21,0.67,1.94,205,21,"It was so loud at the concert, James had to leave",500.0,10000.0,0.0,22
break,,,,,,,,,,,,,1.0,22
trial,"Angry at the late employee, Brandon began to ",yell,0.5,8.11,20,0.44,3.08,9,16,"Angry at the late employee, Brandon began to yell",500.0,10000.0,0.0,22
break,,,,,,,,,,,,,1.0,22
trial,Jeff felt like he would never finish at that ,pace,0.45,8.88,25,0.62,2.57,43,22,Jeff felt like he would never finish at that pace,500.0,10000.0,0.0,22
end,,,,,,,,,,,,,,22
instructions,,,,,,,,,,,,,,23
trial,Jeff felt like he would never finish at that ,pace,0.45,8.88,25,0.62,2.57,43,22,Jeff felt like he would never finish at that pace,500.0,10000.0,0.0,23
break,,,,,,,,,,,,,1.0,23
trial,The children were quiet after hearing their parents ,argue,0.35,9.95,0,0.63,3.01,29,0,The children were quiet after hearing their parents argue,500.0,10000.0,0.0,23
break,,,,,,,,,,,,,1.0,23
trial,He didn't like the puppies because they would always ,bark,0.49,7.80,12,0.57,2.64,14,11,He didn't like the puppies because they would always bark,500.0,10000.0,0.0,23
end,,,,,,,,,,,,,,23
instructions,,,,,,,,,,,,,,24
trial,He didn't like the puppies because they would always ,bark,0.49,7.80,12,0.57,2.64,14,11,He didn't like the puppies because they would always bark,500.0,10000.0,0.0,24
break,,,,,,,,,,,,,1.0,24
trial,The father was greeted by the dog's friendly ,bark,0.48,7.80,12,0.57,3.23,14,11,The father was greeted by the dog's friendly bark,500.0,10000.0,0.0,24
break,,,,,,,,,,,,,1.0,24
trial,The comedy show filled the women with ,laughter,0.44,8.54,1,0.56,2.67,\N,\N,The comedy show filled the women with laughter,500.0,10000.0,0.0,24
end,,,,,,,,,,,,,,24
instructions,,,,,,,,,,,,,,25
trial,The comedy show filled the women with ,laughter,0.44,8.54,1,0.56,2.67,\N,\N,The comedy show filled the women with laughter,500.0,10000.0,0.0,25
break,,,,,,,,,,,,,1.0,25
trial,The trip to the park filled the child with ,joy,0.4,9.37,10,0.62,2.68,40,8,The trip to the park filled the child with joy,500.0,10000.0,0.0,25
break,,,,,,,,,,,,,1.0,25
trial,Fred's wife claimed he was too stoic to express ,emotion,0.4,8.42,1,0.57,3.03,34,0,Fred's wife claimed he was too stoic to express emotion,500.0,10000.0,0.0,25
end,,,,,,,,,,,,,,25
instructions,,,,,,,,,,,,,,26
trial,Fred's wife claimed he was too stoic to express ,emotion,0.4,8.42,1,0.57,3.03,34,0,Fred's wife claimed he was too stoic to express emotion,500.0,10000.0,0.0,26
break,,,,,,,,,,,,,1.0,26
trial,"Sitting inside, Mark could hear the rain loudly hitting the ",roof,0.78,8.64,16,0.62,0.99,59,11,"Sitting inside, Mark could hear the rain loudly hitting the roof",500.0,10000.0,0.0,26
break,,,,,,,,,,,,,1.0,26
trial,"During the violent storm, lightning struck the house's ",roof,0.54,8.64,16,0.62,1.86,59,11,"During the violent storm, lightning struck the house's roof",500.0,10000.0,0.0,26
end,,,,,,,,,,,,,,26
instructions,,,,,,,,,,,,,,27
trial,"During the violent storm, lightning struck the house's ",roof,0.54,8.64,16,0.62,1.86,59,11,"During the violent storm, lightning struck the house's roof",500.0,10000.0,0.0,27
break,,,,,,,,,,,,,1.0,27
trial,The contractor came to the house to repair the ,roof,0.4,8.64,16,0.62,3.5,59,11,The contractor came to the house to repair the roof,500.0,10000.0,0.0,27
break,,,,,,,,,,,,,1.0,27
trial,The guard told them to wait patiently by the ,door,0.57,10.89,35,0.65,2.05,312,10,The guard told them to wait patiently by the door,500.0,10000.0,0.0,27
end,,,,,,,,,,,,,,27
instructions,,,,,,,,,,,,,,28
trial,The guard told them to wait patiently by the ,door,0.57,10.89,35,0.65,2.05,312,10,The guard told them to wait patiently by the door,500.0,10000.0,0.0,28
break,,,,,,,,,,,,,1.0,28
trial,Kristin claimed to be the famous actor's biggest ,fan,0.96,10.53,26,0.65,0.32,18,20,Kristin claimed to be the famous actor's biggest fan,500.0,10000.0,0.0,28
break,,,,,,,,,,,,,1.0,28
trial,"To cool down the room, Sami turned on the ",fan,0.78,10.53,26,0.65,1.06,18,20,"To cool down the room, Sami turned on the fan",500.0,10000.0,0.0,28
end,,,,,,,,,,,,,,28
instructions,,,,,,,,,,,,,,29
trial,"To cool down the room, Sami turned on the ",fan,0.78,10.53,26,0.65,1.06,18,20,"To cool down the room, Sami turned on the fan",500.0,10000.0,0.0,29
break,,,,,,,,,,,,,1.0,29
trial,"To cool himself off, Doug sat near the ",fan,0.51,10.53,26,0.65,2.85,18,20,"To cool himself off, Doug sat near the fan",500.0,10000.0,0.0,29
break,,,,,,,,,,,,,1.0,29
trial,"In the front lawn, Irvin planted a big, green ",tree,0.44,10.21,9,0.66,2.47,59,11,"In the front lawn, Irvin planted a big, green tree",500.0,10000.0,0.0,29
end,,,,,,,,,,,,,,29
instructions,,,,,,,,,,,,,,30
trial,"In the front lawn, Irvin planted a big, green ",tree,0.44,10.21,9,0.66,2.47,59,11,"In the front lawn, Irvin planted a big, green tree",500.0,10000.0,0.0,30
break,,,,,,,,,,,,,1.0,30
trial,The family's couch and TV were both in the ,room,0.36,11.35,24,0.67,2.38,\N,\N,The family's couch and TV were both in the room,500.0,10000.0,0.0,30
break,,,,,,,,,,,,,1.0,30
trial,The city of Chicago is a metropolitan ,area,0.48,11.99,3,0.68,2.89,323,2,The city of Chicago is a metropolitan area,500.0,10000.0,0.0,30
end,,,,,,,,,,,,,,30
instructions,,,,,,,,,,,,,,31
trial,The city of Chicago is a metropolitan ,area,0.48,11.99,3,0.68,2.89,323,2,The city of Chicago is a metropolitan area,500.0,10000.0,0.0,31
break,,,,,,,,,,,,,1.0,31
trial,"Susan declined the gift, claiming it was too ",expensive,0.79,10.50,2,0.64,1.38,\N,\N,"Susan declined the gift, claiming it was too expensive",500.0,10000.0,0.0,31
break,,,,,,,,,,,,,1.0,31
trial,The vacuum's defects affected its ability to ,clean,0.38,10.50,9,0.64,1.92,70,8,The vacuum's defects affected its ability to clean,500.0,10000.0,0.0,31
end,,,,,,,,,,,,,,31
instructions,,,,,,,,,,,,,,32
trial,The vacuum's defects affected its ability to ,clean,0.38,10.50,9,0.64,1.92,70,8,The vacuum's defects affected its ability to clean,500.0,10000.0,0.0,32
break,,,,,,,,,,,,,1.0,32
trial,The mother was shocked when her daughter's room was ,clean,0.66,10.50,9,0.64,1.95,70,8,The mother was shocked when her daughter's room was clean,500.0,10000.0,0.0,32
break,,,,,,,,,,,,,1.0,32
trial,Jeremy was sweating because the weather was so ,hot,0.68,10.85,23,0.66,1.34,130,26,Jeremy was sweating because the weather was so hot,500.0,10000.0,0.0,32
end,,,,,,,,,,,,,,32
instructions,,,,,,,,,,,,,,33
trial,Jeremy was sweating because the weather was so ,hot,0.68,10.85,23,0.66,1.34,130,26,Jeremy was sweating because the weather was so hot,500.0,10000.0,0.0,33
break,,,,,,,,,,,,,1.0,33
trial,"At the rock concert, the music was extremely ",loud,0.98,9.39,15,0.59,0.16,20,10,"At the rock concert, the music was extremely loud",500.0,10000.0,0.0,33
break,,,,,,,,,,,,,1.0,33
trial,In the mornings it was hard for Jim to ,wake,0.37,9.40,31,0.63,3.49,23,22,In the mornings it was hard for Jim to wake,500.0,10000.0,0.0,33
end,,,,,,,,,,,,,,33
instructions,,,,,,,,,,,,,,34
trial,In the mornings it was hard for Jim to ,wake,0.37,9.40,31,0.63,3.49,23,22,In the mornings it was hard for Jim to wake,500.0,10000.0,0.0,34
break,,,,,,,,,,,,,1.0,34
trial,The tornado left extensive damage in its ,wake,0.63,9.40,31,0.63,1.53,23,22,The tornado left extensive damage in its wake,500.0,10000.0,0.0,34
break,,,,,,,,,,,,,1.0,34
trial,"When the manager leaves, the office is under Liam's ",control,0.49,11.94,0,0.69,2.58,223,0,"When the manager leaves, the office is under Liam's control",500.0,10000.0,0.0,34
end,,,,,,,,,,,,,,34
instructions,,,,,,,,,,,,,,35
trial,"When the manager leaves, the office is under Liam's ",control,0.49,11.94,0,0.69,2.58,223,0,"When the manager leaves, the office is under Liam's control",500.0,10000.0,0.0,35
break,,,,,,,,,,,,,1.0,35
trial,They couldn't talk because it was too hard to ,hear,0.75,11.41,38,0.62,1.46,903,28,They couldn't talk because it was too hard to hear,500.0,10000.0,0.0,35
break,,,,,,,,,,,,,1.0,35
trial,In the loud restaurant it was hard to ,hear,0.84,11.41,38,0.62,0.91,903,28,In the loud restaurant it was hard to hear,500.0,10000.0,0.0,35
end,,,,,,,,,,,,,,35
instructions,,,,,,,,,,,,,,36
trial,In the loud restaurant it was hard to ,hear,0.84,11.41,38,0.62,0.91,903,28,In the loud restaurant it was hard to hear,500.0,10000.0,0.0,36
break,,,,,,,,,,,,,1.0,36
trial,Her disease created some difficulties but she could ,manage,0.46,9.80,0,0.64,2.91,20,2,Her disease created some difficulties but she could manage,500.0,10000.0,0.0,36
break,,,,,,,,,,,,,1.0,36
trial,"During the championship game, the crowd was easy to ",please,0.38,13.27,9,0.60,3.43,62,3,"During the championship game, the crowd was easy to please",500.0,10000.0,0.0,36
end,,,,,,,,,,,,,,36
instructions,,,,,,,,,,,,,,37
trial,"During the championship game, the crowd was easy to ",please,0.38,13.27,9,0.60,3.43,62,3,"During the championship game, the crowd was easy to please",500.0,10000.0,0.0,37
break,,,,,,,,,,,,,1.0,37
trial,The mother caressed her baby in an attempt to ,soothe,0.5,5.66,8,0.28,2.77,2,7,The mother caressed her baby in an attempt to soothe,500.0,10000.0,0.0,37
break,,,,,,,,,,,,,1.0,37
trial,To provide for his family the young man would ,work,0.68,13.02,19,0.70,1.85,760,18,To provide for his family the young man would work,500.0,10000.0,0.0,37
end,,,,,,,,,,,,,,37
instructions,,,,,,,,,,,,,,38
trial,To provide for his family the young man would ,work,0.68,13.02,19,0.70,1.85,760,18,To provide for his family the young man would work,500.0,10000.0,0.0,38
break,,,,,,,,,,,,,1.0,38
trial,"Oliver tried, but the lever was too stiff to ",move,0.48,11.29,11,0.69,1.96,171,5,"Oliver tried, but the lever was too stiff to move",500.0,10000.0,0.0,38
break,,,,,,,,,,,,,1.0,38
trial,The teenager was nervous about having to ,drive,0.34,12.05,7,0.67,3.14,105,5,The teenager was nervous about having to drive,500.0,10000.0,0.0,38
end,,,,,,,,,,,,,,38
instructions,,,,,,,,,,,,,,39
trial,The teenager was nervous about having to ,drive,0.34,12.05,7,0.67,3.14,105,5,The teenager was nervous about having to drive,500.0,10000.0,0.0,39
break,,,,,,,,,,,,,1.0,39
trial,"In her free time, Meredith really liked to ",read,0.49,12.58,35,0.67,2.91,178,25,"In her free time, Meredith really liked to read",500.0,10000.0,0.0,39
break,,,,,,,,,,,,,1.0,39
trial,The babies were irritated and difficult to ,calm,0.35,8.75,18,0.59,3.03,35,15,The babies were irritated and difficult to calm,500.0,10000.0,0.0,39
end,,,,,,,,,,,,,,39
instructions,,,,,,,,,,,,,,40
trial,The babies were irritated and difficult to ,calm,0.35,8.75,18,0.59,3.03,35,15,The babies were irritated and difficult to calm,500.0,10000.0,0.0,40
break,,,,,,,,,,,,,1.0,40
trial,The bottle was heavy and made it hard to ,carry,0.31,10.51,16,0.67,3.06,88,15,The bottle was heavy and made it hard to carry,500.0,10000.0,0.0,40
break,,,,,,,,,,,,,1.0,40
trial,Jen's love for children and school convinced her to ,teach,0.89,10.02,16,0.62,0.85,41,11,Jen's love for children and school convinced her to teach,500.0,10000.0,0.0,40
end,,,,,,,,,,,,,,40
instructions,,,,,,,,,,,,,,41
trial,Jen's love for children and school convinced her to ,teach,0.89,10.02,16,0.62,0.85,41,11,Jen's love for children and school convinced her to teach,500.0,10000.0,0.0,41
break,,,,,,,,,,,,,1.0,41
trial,"An expert in hiding, the thief was hard to ",find,0.6,12.85,24,0.69,1.91,399,11,"An expert in hiding, the thief was hard to find",500.0,10000.0,0.0,41
break,,,,,,,,,,,,,1.0,41
trial,Jean was satisfied as her sculpture began to take ,shape,0.68,10.05,14,0.65,1.66,85,15,Jean was satisfied as her sculpture began to take shape,500.0,10000.0,0.0,41
end,,,,,,,,,,,,,,41
instructions,,,,,,,,,,,,,,42
trial,Jean was satisfied as her sculpture began to take ,shape,0.68,10.05,14,0.65,1.66,85,15,Jean was satisfied as her sculpture began to take shape,500.0,10000.0,0.0,42
break,,,,,,,,,,,,,1.0,42
trial,She only hosted the event to save ,money,0.56,12.25,19,0.68,1.59,265,10,She only hosted the event to save money,500.0,10000.0,0.0,42
break,,,,,,,,,,,,,1.0,42
trial,"Pressed for time, Beth made a quick grocery ",run,0.33,12.32,31,0.69,2.14,212,23,"Pressed for time, Beth made a quick grocery run",500.0,10000.0,0.0,42
end,,,,,,,,,,,,,,42
instructions,,,,,,,,,,,,,,43
trial,"Pressed for time, Beth made a quick grocery ",run,0.33,12.32,31,0.69,2.14,212,23,"Pressed for time, Beth made a quick grocery run",500.0,10000.0,0.0,43
break,,,,,,,,,,,,,1.0,43
trial,To boost his circulation Tim goes for a ,run,0.43,12.32,31,0.69,2.36,212,23,To boost his circulation Tim goes for a run,500.0,10000.0,0.0,43
break,,,,,,,,,,,,,1.0,43
trial,The thief realized he had nowhere to ,run,0.34,12.32,31,0.69,1.93,212,23,The thief realized he had nowhere to run,500.0,10000.0,0.0,43
end,,,,,,,,,,,,,,43
instructions,,,,,,,,,,,,,,44
trial,The thief realized he had nowhere to ,run,0.34,12.32,31,0.69,1.93,212,23,The thief realized he had nowhere to run,500.0,10000.0,0.0,44
break,,,,,,,,,,,,,1.0,44
trial,"Every Saturday morning, Abby goes on a light ",run,0.41,12.32,31,0.69,1.96,212,23,"Every Saturday morning, Abby goes on a light run",500.0,10000.0,0.0,44
break,,,,,,,,,,,,,1.0,44
trial,"In order to stay in shape, Jessica liked to ",run,0.46,12.32,31,0.69,2.51,212,23,"In order to stay in shape, Jessica liked to run",500.0,10000.0,0.0,44
end,,,,,,,,,,,,,,44
instructions,,,,,,,,,,,,,,45
trial,"In order to stay in shape, Jessica liked to ",run,0.46,12.32,31,0.69,2.51,212,23,"In order to stay in shape, Jessica liked to run",500.0,10000.0,0.0,45
break,,,,,,,,,,,,,1.0,45
trial,The car suddenly appeared and Liz wasn't able to ,stop,0.35,11.48,9,0.68,3.23,120,8,The car suddenly appeared and Liz wasn't able to stop,500.0,10000.0,0.0,45
break,,,,,,,,,,,,,1.0,45
trial,"A village was discovered between the mountains, in a ",valley,0.76,10.13,9,0.66,1.74,73,10,"A village was discovered between the mountains, in a valley",500.0,10000.0,0.0,45
end,,,,,,,,,,,,,,45
instructions,,,,,,,,,,,,,,46
